Racquet Name,Tension,Length,Pattern,Skip M Holes,Tie Off M,Start C,Tie Off C,Manufacturer,Pattern Type
COLOSSUS 2000,35 - 45,36' - 10'S,16M X 20C,"8T - 7,9B",6T,8T,5B,Head,Racquetball
COLOSSUS 3000,35 - 45,36' - 10'S,16M X 20C,"8T - 7,9B",6T,8T,5B,Head,Racquetball
COMP G XL,28 - 34,39' - 11'S,16M X 18C,"7,9,10T",8T,7T,7B,Head,Racquetball
DEMON XL,28 - 34,39' - 11'S,16M X 18C,"7,9,10T",8T,7T,7B,Head,Racquetball
DIRECTOR,31 - 35,35' - 10'S,16M X 20C,"7,9T - 6,8,10,11B",8T,7T,5B,Head,Racquetball
DIRTY DEED,31 - 37,23'M - 16'C,16M X 16C,8T,3T,5T,4T - 4B,Head,Racquetball
EDGE,31 - 35,35' - 10'S,16M X 20C,"7,9T - 6,8,10,11B",8T,7T,5B,Head,Racquetball
ELEKTRA OS,35 - 40,31' - 9'S,14M X 18C,"7T - 5,7,9B",8B,5B,6T,Head,Racquetball
ELEKTRA SUPER-MID,35 - 40,29' - 8'S,14M X 17C,"7T - 5,7,9B",8B,5B,6T,Head,Racquetball
ELITE OS,35 - 40,31' - 9'S,14M X 18C,"7T - 5,7,9B",8B,5B,6T,Head,Racquetball
ELITE SUPER-MID,35 - 40,29' - 8'S,14M X 17C,"7T - 5,7,9B",8B,5B,6T,Head,Racquetball
EXCALIBUR OS,35 - 40,31' - 9'S,14M X 18C,"7T - 5,7,9B",8B,5B,6T,Head,Racquetball
EXCALIBUR SUPER-MID,35 - 40,29' - 8'S,14M X 17C,"7T - 5,7,9B",8B,5B,6T,Head,Racquetball
EXTREME 170/180/190,31 - 37,23'M - 16'C,16M X 16C,"6,8,10,11T",5T,6T,7T - 4B,Head,Racquetball
EXTREME EDGE ASP (12x16),38 - 44,20'M - 17'C,12M X 16C,"2,4,6,8,10T",7T,8T,5T - 4B,Head,Racquetball
EXTREME EDGE ASP (16x16),32 - 38,23'M - 17'C,16M X 16C,"5,7,10T",6T,8T,4T - 4B,Head,Racquetball
EXTREME PRO ASP (12x16),38 - 44,20'M - 17'C,12M X 16C,"2,4,6,8,10T",7T,8T,5T - 4B,Head,Racquetball
EXTREME PRO ASP (16x16),32 - 38,23'M - 17'C,16M X 16C,"5,7,10T",6T,8T,4T - 4B,Head,Racquetball
FULL HOUSE,31 - 37,23'M - 16'C,16M X 16C,8T,3T,5T,4T - 4B,Head,Racquetball
G SERIES,28 - 33,35' - 10'S,16M X 20C,"8T - 6,8,10,11B",7T,6T,5B,Head,Racquetball
GRAPHENE RADICAL 160/170/180,31 - 37,23'M - 16'C,16M X 16C,8T,3T,5T,4T - 4B,Head,Racquetball
GRAPHENE RADICAL EDGE,31 - 37,23'M - 16'C,16M X 16C,8T,3T,5T,4T - 4B,Head,Racquetball
GRAPHENE RADICAL PRO,31 - 37,23'M - 16'C,16M X 16C,8T,3T,5T,4T - 4B,Head,Racquetball
GRAPHENE TOUCH EXTREME 155 ASP (12x16),38 - 44,20'M - 17'C,12M X 16C,"2,4,6,8,10T",7T,8T,5T - 4B,Head,Racquetball
GRAPHENE TOUCH EXTREME 155 ASP (16x16),32 - 38,23'M - 17'C,16M X 16C,"5,7,10T",6T,8T,4T - 4B,Head,Racquetball
GRAPHENE TOUCH EXTREME 165 ASP (12x16),38 - 44,20'M - 17'C,12M X 16C,"2,4,6,8,10T",7T,8T,5T - 4B,Head,Racquetball
GRAPHENE TOUCH EXTREME 165 ASP (16x16),32 - 38,23'M - 17'C,16M X 16C,"5,7,10T",6T,8T,4T - 4B,Head,Racquetball
GRAPHENE TOUCH EXTREME 175 ASP (12x16),34 - 40,20'M - 16'C,12M X 16C,"2,4,6,8,10T",7T,8T,5T - 4B,Head,Racquetball
GRAPHENE TOUCH EXTREME 175 ASP (16x16),31 - 37,23'M - 16'C,16M X 16C,"5,7,10T",6T,8T,4T - 4B,Head,Racquetball
GRAPHENE TOUCH EXTREME PRO ASP (12x16),38 - 44,20'M - 17'C,12M X 16C,"2,4,6,8,10T",7T,8T,5T - 4B,Head,Racquetball
GRAPHENE TOUCH EXTREME PRO ASP (16x16),32 - 38,23'M - 17'C,16M X 16C,"5,7,10T",6T,8T,4T - 4B,Head,Racquetball
GRAPHENE XT EXTREME 175 ASP (12x16),34 - 40,20'M - 16'C,12M X 16C,"2,4,6,8,10T",7T,8T,5T - 4B,Head,Racquetball
GRAPHENE XT EXTREME 175 ASP (16x16),31 - 37,23'M - 16'C,16M X 16C,"5,7,10T",6T,8T,4T - 4B,Head,Racquetball
GRAPHENE XT RADICAL 160 AFP (12x16),34 - 40,23'M - 17'C,12M X 16C,6T,4T,5T,3T - 4B,Head,Racquetball
GRAPHENE XT RADICAL 160 AFP (16x16),31 - 37,23'M - 16'C,16M X 16C,8T,3T,5T,4T - 4B,Head,Racquetball
GRAPHENE XT RADICAL 170 AFP (12x16),34 - 40,23'M - 17'C,12M X 16C,6T,4T,5T,3T - 4B,Head,Racquetball
GRAPHENE XT RADICAL 170 AFP (16x16),31 - 37,23'M - 16'C,16M X 16C,8T,3T,5T,4T - 4B,Head,Racquetball
GRAPHENE XT RADICAL 180 AFP (12x16),34 - 40,23'M - 17'C,12M X 16C,6T,4T,5T,3T - 4B,Head,Racquetball
GRAPHENE XT RADICAL 180 AFP (16x16),31 - 37,23'M - 16'C,16M X 16C,8T,3T,5T,4T - 4B,Head,Racquetball
GRAPHENE XT RADICAL EDGE AFP (12x16),34 - 40,23'M - 17'C,12M X 16C,6T,4T,5T,3T - 4B,Head,Racquetball
GRAPHENE XT RADICAL EDGE AFP (16x16),31 - 37,23'M - 16'C,16M X 16C,8T,3T,5T,4T - 4B,Head,Racquetball
GRAPHENE XT RADICAL PRO AFP (12x16),34 - 40,23'M - 17'C,12M X 16C,6T,4T,5T,3T - 4B,Head,Racquetball
GRAPHENE XT RADICAL PRO AFP (16x16),31 - 37,23'M - 16'C,16M X 16C,8T,3T,5T,4T - 4B,Head,Racquetball
GREAT WHITE,31 - 37,23'M - 16'C,16M X 16C,8T,3T,5T,4T - 4B,Head,Racquetball
i 165,30 - 36,21'M - 18'C,16M X 19C,"6,8,10,11T",9T,6T,4T - 7B,Head,Racquetball
i 185,30 - 36,21'M - 18'C,16M X 19C,"6,8,10,11T",9T,6T,4T - 7B,Head,Racquetball
i 195,28 - 34,21'M - 18'C,16M X 19C,"6,8,10,11T",9T,6T,4T - 7B,Head,Racquetball
i 205,28 - 34,21'M - 18'C,16M X 19C,"6,8,10,11T",9T,6T,4T - 7B,Head,Racquetball
i X160,28 - 34,21'M - 18'C,16M X 19C,"6,8,10,11T",9T,6T,4T - 7B,Head,Racquetball
i X180,30 - 36,21'M - 18'C,16M X 19C,"6,8,10,11T",9T,6T,4T - 7B,Head,Racquetball
i X200,28 - 34,21'M - 17'C,16M X 19C,"6,8,10,11T",9T,6T,4T - 7B,Head,Racquetball
i X220,28 - 34,21'M - 17'C,16M X 19C,"6,8,10,11T",9T,6T,4T - 7B,Head,Racquetball
LASER 205 XL,28 - 34,39' - 11'S,16M X 18C,"7,9,10T",8T,7T,7B,Head,Racquetball
LASERSPEED SERIES,35 - 40,35' - 10'S,16M X 21C,"8T - 6,8B",4T,6T,4B,Head,Racquetball
LIQUIDMETAL 170,31 - 37,23'M - 16'C,16M X 16C,"6,8,10,11T",5T,6T,7T - 5B,Head,Racquetball
LIQUIDMETAL 180,31 - 37,23'M - 16'C,16M X 16C,"6,8,10,11T",5T,6T,7T - 5B,Head,Racquetball
LIQUIDMETAL 190,31 - 37,23'M - 16'C,16M X 16C,"6,8,10,11T",5T,6T,7T - 5B,Head,Racquetball
LIQUIDMETAL BLAST,28 - 34,39' - 11'S,16M X 18C,"7,9,10T",8T,7T,7B,Head,Racquetball
LIQUIDMETAL CYBER,28 - 34,39 - 11'S,16M X 18C,"6,8,10,11T",9T,6T,7B,Head,Racquetball
LIQUIDMETAL IGS 165,31 - 37,23'M - 16'C,16M X 16C,"6,8,10,11T",5T,6T,7T - 4B,Head,Racquetball
LIQUIDMETAL IGS 175,31 -37,23'M - 16'C,16M X 16C,"6,8,10,11T",5T,6T,7T - 4B,Head,Racquetball
LIQUIDMETAL IGS 185,31 - 37,23'M - 16'C,16M X 16C,"6,8,10,11T",5T,6T,7T - 4B,Head,Racquetball
MASTER,31 - 35,35' - 10'S,16M X 20C,"7,9T - 6,8,10,11B",8T,7T,5B,Head,Racquetball
MATCH OVERSIZE,35 - 40,31' - 9'S,14M X 18C,"7T - 5,7,9B",8B,5B,6T,Head,Racquetball
MATCH SUPER-MID,35 - 40,29' - 8'S,14M X 17C,"7T - 5,7,9B",8B,5B,6T,Head,Racquetball
MEANSTREAK,31 - 37,23'M - 16'C,16M X 16C,8T,3T,5T,4T - 4B,Head,Racquetball
MEGABLAST 175,28 - 36,22'M - 17'C,16M X 18C,"6,8,10,11T",5T,6T,4T - 5B,Head,Racquetball
MEGABLAST 185,28 - 36,22'M - 17'C,16M X 18C,"6,8,10,11T",5T,6T,4T - 5B,Head,Racquetball
MX 170,31 - 37,23'M - 16'C,16M X 16C,"6,8,10,11T",5T,6T,7T - 4B,Head,Racquetball
MX 180,31 - 37,23'M - 16'C,16M X 16C,"6,8,10,11T",5T,6T,7T - 4B,Head,Racquetball
MX 190,31 - 37,23'M - 16'C,16M X 16C,"6,8,10,11T",5T,6T,7T - 4B,Head,Racquetball
MX CYCLONE,28 - 34,39' - 11'S,16M X 16C,"6,8,10,11T",7T,6T,7B,Head,Racquetball
MX FIRE,28 - 34,39' - 11'S,16M X 20C,"7,9,10T",8T,7T,7B,Head,Racquetball
MX HURRICANE,28 - 34,39' - 11'S,16M X 18C,"7,9,10T",8T,7T,7B,Head,Racquetball
NANO Ti BLAST,28 - 34,39' - 11'S,16M X 18C,"7,9,10T",8T,7T,7B,Head,Racquetball
NANO Ti CYBER,28 - 34,39' - 11'S,16M X 18C,"6,8,10,11T",9T,6T,7B,Head,Racquetball
NANO Ti DEMON,28 - 34,39' - 11'S,16M X 18C,8T,6T,8T,5B,Head,Racquetball
NANO Ti RAPTOR,28 -34,39' - 11'S,16M X 18C,"7,9,10T",8T,7T,7B,Head,Racquetball
NANO Ti ROCKET,28 - 34,39' - 11'S,16M X 18C,"7,9,10T",8T,7T,7B,Head,Racquetball
PHOTON 220 XL,28 - 34,39' - 11'S,16M X 18C,"7,9,10T",8T,7T,7B,Head,Racquetball
PROBLEM CHILD,31 - 37,23'M - 16'C,16M X 16C,8T,3T,5T,4T - 4B,Head,Racquetball
"PYRAMID POWER ""G"" SERIES",31 - 35,36' - 9'S,16M X 20C,"7,9T - 6,8,10,11B",8T,7T,5B,Head,Racquetball
PYRAMID POWER SERIES,31 - 35,35' - 10'S,16M X 20C,"7,9T - 6,8,10,11B",8T,7T,5B,Head,Racquetball
RADICAL 160/170/180,31 - 37,23'M - 16'C,16M X 16C,8T,3T,5T,4T - 4B,Head,Racquetball
ROYAL FLUSH,31 - 37,23'M - 16'C,16M X 16C,8T,3T,5T,4T - 4B,Head,Racquetball
SCORPION 170,31 - 37,23'M - 16'C,16M X 16C,8T,3T,5T,4T - 4B,Head,Racquetball
SUBMISSION,31 - 37,23'M - 16'C,16M X 16C,8T,3T,5T,4T - 4B,Head,Racquetball
TAP OUT,31 - 37,23'M - 16'C,16M X 16C,8T,3T,5T,4T - 4B,Head,Racquetball
Ti 170 PZ+,26 - 32,22'M - 16'C,16M X 19C,"6,8,10,11T",9T,6T,4T - 7B,Head,Racquetball
Ti 175 XL,32 - 38,36' - 11'S,16M X 18C,"7,9,10T",8T,7T,7B,Head,Racquetball
Ti 180 PZ+,26 - 32,22'M - 16'C,16M X 19C,"6,8,10,11T",9T,6T,4T - 7B,Head,Racquetball
Ti 185 XL,32 - 38,36' - 11'S,16M X 18C,"7,9,10T",8T,7T,7B,Head,Racquetball
Ti 190 PZ+,26 - 32,22'M - 16'C,16M X 19C,"6,8,10,11T",9T,6T,4T - 7B,Head,Racquetball
Ti 195 XL,32 - 38,36' - 11'S,16M X 18C,"7,9,10T",8T,7T,7B,Head,Racquetball
Ti 220 PZ+,26 - 32,22'M - 16'C,16M X 19C,"6,8,10,11T",9T,6T,4T - 7B,Head,Racquetball
Ti BLAST XL,28 - 34,39' - 11'S,16M X 18C,"7,9,10T",8T,7T,7B,Head,Racquetball
Ti CRUSH XL,28 - 34,39' - 11'S,16M X 18C,"7,9,10T",8T,7T,7B,Head,Racquetball
Ti CYCLONE XL,28 - 34,39' - 11'S,16M X 18C,"7,9,10T",8T,7T,7B,Head,Racquetball
Ti DEFIANT XL,28 - 34,39' - 11'S,16M X 18C,"7,9,10T",8T,7T,7B,Head,Racquetball
Ti DEMON,28 - 34,39' - 11'S,16M X 20C,"8T - 6,8,10,11B",6T,8T,5B,Head,Racquetball
Ti DIRECTOR XL,28 - 34,39' - 11'S,16M X 18C,"7,9,10T",8T,7T,7B,Head,Racquetball
Ti ELITE XL,28 - 34,40' - 11'S,16M X 19C,"6,8,10,11T",9T,6T,7B,Head,Racquetball
Ti EXPLOSION XL,28 - 34,39' - 11'S,16M X 20C,"8T - 6,8,10,11B",7T,6T,5B,Head,Racquetball
Ti EXTREME XL,28 - 34,39' - 11'S,16M X 18C,"7,9,10T",8T,7T,7B,Head,Racquetball
Ti FIRE XL,28 - 34,36' - 11'S,16M X 18C,"7,9,10T",8T,7T,7B,Head,Racquetball
Ti FLAME XL,28 - 34,38' - 10'S,16M X 20C,"8T - 6,8,10,11B",7T,6T,5B,Head,Racquetball
Ti FLASH XL,28 - 34,39' - 11'S,16M X 18C,"7,9,10T",8T,7T,7B,Head,Racquetball
Ti FURY XL,28 - 34,39' - 11'S,16M X 18C,"7,9,10T",8T,7T,7B,Head,Racquetball
Ti GENESIS XL,28 - 34,21'M - 17'C,16M X 19C,"6,8,10,11T",9T,6T,4T - 7B,Head,Racquetball
Ti HEAT XL,28 - 34,36' - 11'S,16M X 18C,"7,9,10T",8T,7T,7B,Head,Racquetball
Ti HURRICANE XL,28 - 34,39' - 11'S,16M X 18C,"7,9,10T",8T,7T,7B,Head,Racquetball
Ti INFERNO XL,28 - 34,36' - 11'S,16M X 18C,"7,9,10T",8T,7T,7B,Head,Racquetball
Ti JAZZ XL,28 - 34,39' - 11'S,16M X 20C,"6,8,10,11T",6T,8T,5B,Head,Racquetball
Ti LASER PZ,26 - 32,39' - 11'S,16M X 19C,"6,8,10,11T",9T,6T,7B,Head,Racquetball
Ti LASER XL,28 - 34,39' - 11'S,16M X 18C,"7,9,10T",8T,7T,7B,Head,Racquetball
Ti PRO XL,28 - 34,39' - 11'S,16M X 18C,"7,9,10T",8T,7T,7B,Head,Racquetball
Ti RAPTOR,28 - 34,39' - 11'S,16M X 18C,"7,9,10T",8T,7T,7B,Head,Racquetball
Ti ROCKET,28 - 34,39' - 11'S,16M X 18C,"7,9,10T",8T,7T,7B,Head,Racquetball
Ti TORNADO XL,28 - 34,22'M - 16'C,16M X 19C,"6,8,19,11T",9T,6T,4T - 7B,Head,Racquetball
Ti TYPHOON XL,28 - 34,39' - 11'S,16M X 18C,"7,9,10T",8T,7T,7B,Head,Racquetball
TKO,31 - 37,23'M - 16'C,16M X 16C,8T,3T,5T,4T - 4B,Head,Racquetball
ZEUS 165,31 - 37,23'M - 16'C,16M X 16C,8T,3T,5T,4T - 4B,Head,Racquetball
115 CT,23 - 29,14'M - 12'C,12M X 17C,6T - 6B,5T,6T,4T - 5B,Head,Squash
130 CT,23 - 29,14'M - 12'C,16M X 17C,"8T - 7,9,10B",8B,8T,7T - 6B,Head,Squash
135 CT,23 - 29,14'M - 12'C,12M X 17C,6T - 6B,5T,6T,4T - 5B,Head,Squash
140 CT,21 - 27,15'M - 12'C,14M X 16C,7T - 7B,6T,7T,5T - 6B,Head,Squash
150 CT,23 - 29,14'M - 12'C,16M X 17C,"8T - 7,9,10B",8B,8T,7T - 6B,Head,Squash
155 CT VECTOR,21 - 27,15'M - 12'C,14M X 16C,7T - 7B,6T,7T,5T - 6B,Head,Squash
CONQUEROR,15 - 24,23' - 7'S,14M X 15C,7T - 7B,6T,7T,6B,Head,Squash
"FLEXPOINT 130, 150",21 - 29,14'M - 12'C,12M X 17C,6T - 6B,5T,6T,4T - 5B,Head,Squash
"FLEXPOINT 140, 160",19 - 27,15'M - 12'C,14M X 17C,7T - 7B,6T,7T,5T - 6B,Head,Squash
GRAPHENE CYANO 115/135,21 - 29,15'M - 12'C,12M X 17C,6T - 6B,5T,6T,4T - 5B,Head,Squash
GRAPHENE NEON 130/150,19 - 27,16'M - 12'C,16M X 17C,"8T - 7,9,10B",8B,8T,7T - 6B,Head,Squash
GRAPHENE XT CYANO 110/120/135,21 - 29,14M X 12'C,12M X 17C,6T - 6B,5T,6T,4T - 5B,Head,Squash
GRAPHENE XT XENON 135/145,19 - 27,15'M - 12'C,14M X 16C,7T - 7B,6T,7T,5T - 8B,Head,Squash
GRAPHENE XT XENON 135/145 FAN PATTERN,19 - 27,22'M - 12'C,20M X 16C,"7,9,11T",6T,7T,5T - 6B,Head,Squash
GRAPHENE XT XENON SB 120/135 (14X17),23 - 34,16'M - 12'C,14M X 17C,"6,8T - 7,8B",7T,6T,5T - 10B,Head,Squash
GRAPHENE XT XENON SB 120/135 (18X17),23 - 34,18'M - 12'C,18M X 17C,"6,8,10,12,13T",5B,6T,4T - 8B,Head,Squash
i.110,21 - 34,17'M - 16'C,12M X 17C,"6,7B",4T,7T,5T - 4B,Head,Squash
i.130,23 - 34,17'M - 16'C,12M X 17C,"6,7B",4T,7T,5T - 4B,Head,Squash
i.140,21 - 31,17'M - 16'C,14M X 17C,"6,8T",4B,6T,4T - 6B,Head,Squash
i.160,23 - 31,16'M - 16'C,14M X 17C,"6,8T",4B,6T,4T - 6B,Head,Squash
i.180,23 - 31,16'M - 16'C,14M X 17C,"6,8T",4B,6T,4T - 6B,Head,Squash
i.PRO IV,23 - 31,16'M - 16'C,14M X 17C,"6,8T",4B,6T,4T - 6B,Head,Squash
i.X120,23 -31,16'M - 16'C,14M X 17C,"6,8T",4B,6T,4T - 6B,Head,Squash
i.X150,21 - 29,14'M - 12'C,12M X 17C,"5,7,8B",4T,7T,5T - 3B,Head,Squash
i.X160G,21 - 29,17'M - 14'C,14M X 16C,"7T - 7,8B",5B,7T,5T - 6B,Head,Squash
"LIQUIDMETAL 120, 150",22 - 28,14'M - 12'C,12M X 17C,6B,5T,7T,4T - 5B,Head,Squash
"LIQUIDMETAL 140, 160",20 - 26,15'M - 12'C,14M X 18C,7T - 7B,6T,7T,5T - 6B,Head,Squash
LIQUIDMETAL HEAT,21 - 29,17'M - 16'C,14M X 18C,"6,8T",4B,6T,4T - 7B,Head,Squash
LIQUIDMETAL PHOTON,22 - 26,18'M - 15'C,16M X 19C,"8T - 7,9B",8B,8T,6T - 6B,Head,Squash
"METALLIX 130, 150",21 - 29,14'M - 12'C,12M X 17C,6T - 6B,5T,6T,4T - 5B,Head,Squash
"METALLIX 140, 160",19 - 27,15'M - 12'C,14M X 16C,7T - 7B,6T,7T,5T - 6B,Head,Squash
MG. CARBON 200,24 - 30,17'M - 16'C,16M X 19C,"8T - 6,8,10,11B",9B,8T,7T - 5B,Head,Squash
MG. MAGNESIUM 210,24 - 30,17'M - 16'C,16M X 19C,"8T - 6,8,10,11B",7T,8T,6T - 5B,Head,Squash
NANO Ti EXTREME,24 - 33,17'M - 17C',12M X 17C,7T - 6B,5T,7T,4T - 4B,Head,Squash
NANO Ti REFLEX,22 - 28,18'M - 15'C,16M X 19C,"8T - 7,9B",8B,8T,6T - 6B,Head,Squash
NANO Ti SONIC,23 - 34,17'M - 16'C,14M X 18C,"6,8T",4B,6T,4T - 7B,Head,Squash
Ti 120,24 - 30,17'M - 14'C,14M X 18C,"6,8T - 7B",6B,6T,4T - 5B,Head,Squash
Ti 120 PZ,26 - 32,17'M - 16'C,14M X 18C,"6,8T",4B,6T,4T - 7B,Head,Squash
Ti 140 G,24 - 30,17'M - 14'C,14M X 16C,"7T - 7,8B",5B,7T,5T - 6B,Head,Squash
Ti 150,24 - 30,17'M - 14'C,14M X 18C,"6,8T - 7B",6B,6T,4T - 5B,Head,Squash
Ti 150 PZ,26 - 32,17'M - 16'C,14M X 18C,"6,8T",4B,6T,4T - 7B,Head,Squash
Ti 160G,24 - 30,17'M - 14'C,14M X 16C,"7T - 7,8B",5B,7T,5T - 6B,Head,Squash
Ti 170,24 - 30,17'M - 14'C,14M X 18C,"6,8T - 7B",6B,6T,4T - 5B,Head,Squash
Ti 170 PZ,21 - 31,17'M - 16'C,14M X 18C,"6,8T",4B,6T,4T - 7B,Head,Squash
Ti 180G,24 - 30,17'M - 14'C,14M X 16C,"7T - 7,8B",5B,7T,5T - 6B,Head,Squash
Ti BOAST,21 - 29,16'M - 15'C,14M X 18C,"6,8T - 6,8,9B",7B,7T,4T - 5B,Head,Squash
Ti CARBON 190,24 - 30,16'M - 16'C,14M X 18C,"6,8T - 6,8,9B",7B,6T,4T - 5B,Head,Squash
Ti CRUSH 5200,21 - 29,17'M - 14'C,16M X 19C,"8T - 6,8,10,11B",9B,8T,7T - 5B,Head,Squash
Ti DEMON,24 - 30,15'M - 13'C,14M X 19C,"7T - 6,8B",7B,7T,5T - 5B,Head,Squash
Ti DRIVE 1000,23 - 31,15'M - 13'C,14M X 19C,"7T - 6,8B",7B,7T,5T - 5B,Head,Squash
Ti ELITE,22 - 28,18'M - 15'C,16M X 19C,"8T - 7,9,10B",7B,8T,7T - 6B,Head,Squash
Ti FIRE,22 - 28,18'M - 15'C,16M X 19C,"8T - 7,9,10B",7B,8T,7T - 6B,Head,Squash
Ti HEAT,24 - 33,17'M - 17'C,12M X 17C,"6,7B",5T,7T,4T - 4B,Head,Squash
Ti PRO III,21 - 29,17'M - 14'C,14M X 16C,"7T - 7,8B",5B,7T,5T - 6B,Head,Squash
Ti SERVE 3200,21 - 27,17'M - 14'C,16M X 19C,"8T - 6,8,10,11B",7T,8T,6T - 5B,Head,Squash
Ti SPEED,24 - 30,15'M - 13'C,14M X 19C,"7T - 6,8B",7B,7T,5T - 5B,Head,Squash
TYPHOON 150,21 - 27,15'M - 12'C,14M X 17C,7T - 7B,6T,7T,5T - 6B,Head,Squash
YOUTEK ANION,23 - 29,15'M - 12'C,12M X 17C,6T - 6B,5T,6T,4T - 5B,Head,Squash
YOUTEK ARGON,21 - 27,15'M - 12'C,14M X 16C,7T - 7B,6T,7T,5T - 6B,Head,Squash
YOUTEK CYANO,23 - 29,15'M - 12'C,12M X 17C,6T - 6B,5T,6T,4T - 5B,Head,Squash
YOUTEK CYRUS,23 - 29,17'M - 16'C,12M X 17C,"6,7B",4T,7T,5T - 4B,Head,Squash
YOUTEK NEON,22 - 28,16'M - 12'C,16M X 17C,"8T - 7,9,10B",8B,8T,7T - 6B,Head,Squash
YOUTEK XENON,21 - 27,15'M X 12'C,14M X 16C,7T - 7B,6T,7T,5T - 6B,Head,Squash
AIRFLOW 1,48 - 58,20'M - 17'C,16M X 19C,"7,9T - 8B",7B,7T,5T - 6B,Head,Tennis
AIRFLOW 3,48 - 58,20'M - 17'C,16M X 19C,"7,9T - 8B",7B,7T,5T - 6B,Head,Tennis
AIRFLOW 3 CROSSBOW,46 - 56,20'M - 18'C,16M X 19C,"7,9T - 8B",7B,7T,5T - 6B,Head,Tennis
AIRFLOW 5,46 - 56,20'M -18'C,16M X 19C,"7,9T - 8B",7B,7T,5T - 6B,Head,Tennis
AIRFLOW 5 CROSSBOW,46 - 56,20'M -18'C,16M X 19C,"7,9T - 7,9B",8B,7T,5T - 6B,Head,Tennis
AIRFLOW 7,46 - 56,20'M -18'C,16M X 19C,"7,9T - 8B",7B,7T,5T - 6B,Head,Tennis
AIRFLOW 7 CROSSBOW,46 - 56,20'M -18'C,16M X 19C,"7,9T - 7,9B",8B,7T,5T - 6B,Head,Tennis
ATLANTIS 600,54 - 64,34' - 10'S,16M X 19C,"7,9T - 7,9B",8B,7B,5T,Head,Tennis
ATLANTIS 660,63 - 74,35' - 10'S,16M X 19C,"7,9T - 7,9B",8B,7B,5T,Head,Tennis
ATLANTIS 720,65 - 77,37' - 11'S,18M X 19C,"9T - 8,10B",9B,8B,6T,Head,Tennis
ATLANTIS IDS 660,60 - 68,35' - 10'S,16M X 19C,"8T - 7,9B",7T,8T,5B,Head,Tennis
ATLANTIS IDS 720,65 - 77,37' - 11'S,18M X 19C,"9T - 8,10B",9B,8B,6T,Head,Tennis
CALIBRE IDS 600,54 - 64,36' - 10'S,16M X 19C,"7,9T - 7,9B",8T,7T,5B,Head,Tennis
CALIBRE IDS 660,60 - 68,35' - 10'S,16M X 19C,"8T - 7,9B",7T,8T,5B,Head,Tennis
CLASSIC TOUR MID,48 - 58,35' - 10'S,18M X 20C,"8,10T - 8,10B",9B,8B,9T,Head,Tennis
CLASSIC TOUR MP,54 - 64,20'M - 17'C,18M X 19C,"9T - 8,10B",7B,9T,6T - 5B,Head,Tennis
"COMPETITION I, II, III",52 - 60,17'M - 16'C,16M X 20C,8T - 8B,6B,7T,6T - 8B,Head,Tennis
COMPOSITE MASTER,55 - 70,19'M - 17'C,18M X 19C,"9T - 8,10B",9B,9T,6T - 7B,Head,Tennis
COMPOSITE PRO,55 - 70,35' - 10'S,18M X 20C,"8,10T - 8,10B",9B,8B,6T,Head,Tennis
CROSSBOW 10,52 - 62,20'M - 18'C,16M X 19C,"7,9T - 8B",7B,7T,5T - 6B,Head,Tennis
CROSSBOW 2,52 - 62,20'M - 18'C,16M X 19C,"7,9T - 8B",7B,7T,5T - 6B,Head,Tennis
CROSSBOW 4,52 - 62,20'M - 18'C,16M X 19C,"7,9T - 7,9B",8B,7T,5T - 6B,Head,Tennis
CROSSBOW 6,52 - 62,20'M - 18'C,16M X 19C,"7,9T - 7,9B",8B,7T,5T - 6B,Head,Tennis
CROSSBOW 8,52 - 62,20'M - 18'C,16M X 19C,"7,9T - 8B",7B,7T,5T - 6B,Head,Tennis
DISCOVERY SG 600,48 - 58,19'M - 16'C,18M X 20C,"8,10T - 8,10B",9B,8T,6T - 5B,Head,Tennis
DISCOVERY SG 660,54 - 64,20'M - 17'C,18M X 19C,"9T - 8,10B",9B,9T,6T - 7B,Head,Tennis
DISCOVERY SG 720,60 - 70,20'M - 18'C,18M X 19C,9T - 9B,8B,9T,6T - 7B,Head,Tennis
ELEKTRA 600,54 - 64,19'M - 16'C,18M X 20C,"8,10T - 8,10B",9B,8T,6T - 5B,Head,Tennis
ELEKTRA 660,63 - 74,19'M - 17'C,18M X 19C,"9T - 8,10B",9B,9T,6T - 7B,Head,Tennis
ELEKTRA MASTER,55 - 72,19'M - 17'C,18M X 19C,"9T - 8,10B",9B,9T,6T - 7B,Head,Tennis
ELEKTRA PRO,55 - 70,35' - 10'S,18M X 20C,"8,10T - 8,10B",9B,8B,6T,Head,Tennis
ELITE 600,54 - 64,19'M - 16'C,18M X 20C,"8,10T - 8,10B",9B,8T,6T - 5B,Head,Tennis
ELITE 660,63 - 74,19'M - 17'C,18M X 19C,"9T - 8,10B",9B,9T,6T - 7B,Head,Tennis
ELITE 720,65 - 77,20'M - 18'C,18M X 21C,9T - 9B,9B,9T,6T - 5B,Head,Tennis
ELITE MASTER,55 - 72,19'M - 17'C,18M X 19C,"9T - 8,10B",9B,9T,6T - 7B,Head,Tennis
ELITE PRO,55 - 70,35' - 10'S,18M X 20C,"8,10T - 8,10B",9B,8B,6T,Head,Tennis
EXTREME COMPETITION & XL,50 - 62,20'M - 19'C,18M X 19C,"9T - 8,10B",8T,9T,7T - 6B,Head,Tennis
