Racquet Name,Tension,Length,Pattern,Skip M Holes,Tie Off M,Start C,Tie Off C,Manufacturer,Pattern Type
PURE AERO TEAM,50 - 59,20'M - 19'C,16M X 19C,"7,9T - 7,9B",8B,7T,5T - 6B,Babolat,Tennis
PURE AERO TOUR,50 - 59,20'M - 19'C,16M X 19C,"7,9T - 7,9B",8B,7T,5T - 6B,Babolat,Tennis
PURE CONTROL,55 - 62,39' - 10'S,16M X 20C,8T - 8B,6T,8T,7B,Babolat,Tennis
PURE CONTROL +,48 - 55,39' - 10'S,16M X 20C,8T - 8B,6T,8T,7B,Babolat,Tennis
PURE CONTROL MP TEAM,50 - 55,38' - 10'S,16M X 20C,8T - 8B,6T,8T,7B,Babolat,Tennis
PURE CONTROL MP+ TEAM,50 - 55,38' - 10'S,16M X 20C,8T - 8B,6T,8T,7B,Babolat,Tennis
PURE CONTROL TOUR,55 - 62,20'M - 19'C,16M X 20C,8T - 8B,6T,8B,7B - 11T,Babolat,Tennis
PURE CONTROL ZYLON 360,48 - 55,39' - 10'S,16M X 20C,8T - 8B,6T,8T,7B,Babolat,Tennis
PURE CONTROL ZYLON 360 +,48 - 55,39' - 10'S,16M X 20C,8T - 8B,6T,8T,7B,Babolat,Tennis
PURE DRIVE,55 - 62,20'M - 19'C,16M X 19C,8T - 8B,6B,8T,7T - 10B,Babolat,Tennis
PURE DRIVE + CORTEX GT,55 - 62,20'M - 19'C,16M X 19C,8T - 8B,6B,8T,7T - 10B,Babolat,Tennis
PURE DRIVE + FSI,50 - 59,20'M - 19'C,16M X 19C,"7,9T - 7,9B",8B,7T,6T - 6B,Babolat,Tennis
PURE DRIVE + TEAM,55 - 62,20'M - 19'C,16M X 19C,8T - 8B,6B,8T,7T - 10B,Babolat,Tennis
PURE DRIVE 107,55 - 62,20'M - 18'C,16M X 19C,8T - 8B,6B,8T,7T - 11B,Babolat,Tennis
PURE DRIVE 107 CORTEX + GT,55 - 62,20'M - 19'C,16M X 19C,8T - 8B,6B,8T,7T - 11B,Babolat,Tennis
PURE DRIVE 107 FSI,50 - 59,20'M - 19'C,16M X 19C,"7,9T - 7,9B",8B,7T,6T - 6B,Babolat,Tennis
PURE DRIVE 110 CORTEX,55 - 62,20'M - 18'C,16M X 20C,8T - 8B,6T,8B,7B - 11T,Babolat,Tennis
PURE DRIVE 110 FSI,50 - 59,20'M - 19'C,16M X 19C,"7,9T - 7,9B",8B,7T,6T - 6B,Babolat,Tennis
PURE DRIVE FSI,50 - 59,20'M - 19'C,16M X 19C,"7,9T - 7,9B",8B,7T,6T - 6B,Babolat,Tennis
PURE DRIVE LITE FSI,50 - 59,20'M - 19'C,16M X 19C,"7,9T - 7,9B",8B,7T,6T - 6B,Babolat,Tennis
PURE DRIVE LITE GT,55 - 62,20'M - 19'C,16M X 19C,8T - 8B,6B,8T,7T - 10B,Babolat,Tennis
PURE DRIVE OS TEAM,50 - 57,40' - 11'S,16M X 20C,8T - 8B,6T,8T,7B,Babolat,Tennis
PURE DRIVE RODDICK,55 - 62,20'M - 19'C,16M X 19C,8T - 8B,6B,8T,7T - 10B,Babolat,Tennis
PURE DRIVE RODDICK +,55 - 62,20'M - 19'C,16M X 19C,8T - 8B,6B,8T,7T - 10B,Babolat,Tennis
PURE DRIVE RODDICK + GT,55 - 62,20'M - 19'C,16M X 19C,8T - 8B,6B,8T,7T - 10B,Babolat,Tennis
PURE DRIVE RODDICK GT,55 - 62,20'M - 19'C,16M X 19C,8T - 8B,6B,8T,7T - 10B,Babolat,Tennis
PURE DRIVE TEAM FSI,50 - 59,20'M - 19'C,16M X 19C,"7,9T - 7,9B",8B,7T,6T - 6B,Babolat,Tennis
PURE DRIVE TOUR + FSI,50 - 59,20'M - 19'C,16M X 19C,"7,9T - 7,9B",8B,7T,6T - 6B,Babolat,Tennis
PURE DRIVE TOUR FSI,50 - 59,20'M - 19'C,16M X 19C,"7,9T - 7,9B",8B,7T,6T - 6B,Babolat,Tennis
PURE DRIVE VS,50 - 59,20'M - 19'C,16M X 19C,"7,9T - 7,9B",8B,7T,6T - 6B,Babolat,Tennis
PURE DRIVE ZYLON 360,50 - 57,39' - 11'S,16M X 19C,8T - 8B,6B,8B,7T,Babolat,Tennis
PURE DRIVE ZYLON 360 +,50 - 57,39' - 11'S,16M X 19C,8T - 8B,6B,8B,7T,Babolat,Tennis
PURE POWER,50 - 57,39' - 11'S,16M X 19C,8T - 8B,6T,8T,7B,Babolat,Tennis
PURE POWER ZYLON 360,50 - 57,39' - 10'S,16M X 20C,8T - 8B,6T,8T,7B,Babolat,Tennis
PURE STORM,51 - 57,20'M - 19'C,16M X 20C,8T - 8B,6T,8B,7B - 11T,Babolat,Tennis
PURE STORM GT,55 - 62,20'M - 19'C,16M X 20C,8T - 8B,6T,8B,7B - 11T,Babolat,Tennis
PURE STORM LTD GT,55 - 62,21'M - 19'C,18M X 20C,"8,10T - 9B",8B,8T,6T - 10B,Babolat,Tennis
PURE STORM MP TEAM,51 - 57,20'M - 19'C,16M X 20C,8T - 8B,6T,8B,7B - 11T,Babolat,Tennis
PURE STORM TEAM,51 - 57,20'M - 19'C,16M X 20C,8T - 8B,6T,8B,7B - 11T,Babolat,Tennis
PURE STORM TOUR,55 - 62,20'M - 19'C,16M X 20C,8T - 8B,6T,8B,7B - 11T,Babolat,Tennis
PURE STORM TOUR +,55 - 62,20'M - 19'C,16M X 20C,8T - 8B,6T,8B,7B - 11T,Babolat,Tennis
PURE STORM TOUR + GT,55 - 62,20'M - 19'C,16M X 20C,8T - 8B,6T,8B,7B - 11T,Babolat,Tennis
PURE STORM TOUR GT,55 - 62,20'M - 19'C,16M X 20C,8T - 8B,6T,8B,7B - 11T,Babolat,Tennis
PURE STRIKE (16x19),55 - 62,20'M - 19'C,16M X 19C,8T - 8B,7T,8T,9T - 7B,Babolat,Tennis
PURE STRIKE (18x20),55 - 62,20'M - 19'C,18M X 20C,"8,10T - 8,10B",9B,8T,6T - 7B,Babolat,Tennis
PURE STRIKE 100,55 - 62,20'M - 19'C,16M X 19C,8T - 8B,7T,8T,6T - 7B,Babolat,Tennis
PURE STRIKE 100 (WHITE),50 - 59,20'M - 19'C,16M X 19C,"7,9T - 7,9B",8T,7T,6T - 8B,Babolat,Tennis
PURE STRIKE TEAM,50 - 59,20'M - 19'C,16M X 19C,"7,9T - 7,9B",8T,7T,6T - 8B,Babolat,Tennis
PURE STRIKE TOUR,55 - 62,20'M - 19'C,18M X 20C,"8,10T - 8,10B",9B,8T,6T - 7B,Babolat,Tennis
SOFT CONTROL,53 - 57,39' - 10'S,16M X 20C,8T - 8B,6T,8T,7B,Babolat,Tennis
SOFT DRIVE,53 - 57,39' - 10'S,16M X 20C,8T - 8B,6T,8T,7B,Babolat,Tennis
SOFT POWER,55 - 60,39' - 11'S,16M X 19C,8T - 8B,6T,8T,7B,Babolat,Tennis
VS CONTROL,48 - 57,39' - 10'S,16M X 20C,8T - 8B,6T,8T,7B,Babolat,Tennis
VS DRIVE,50 - 60,39' - 11'S,16M X 19C,8T - 8B,6B,8B,7T,Babolat,Tennis
VS NANOTUBE DRIVE,50 - 57,39' - 11'S,16M X 18C,8T - 8B,7B,8B,6T,Babolat,Tennis
VS NANOTUBE POWER,50 - 57,39' - 11'S,16M X 19C,"8T - 7,9,10B",6T,8T,6B,Babolat,Tennis
VS NCT CONTROL,50 - 57,20'M - 19'C,16M X 18C,"7,9T - 7,9B",6B,7T,8T - 4B,Babolat,Tennis
VS NCT DRIVE,50 - 57,20'M - 19'C,16M X 18C,8T - 8B,7T,8T,6T - 6B,Babolat,Tennis
VS NCT POWER,50 - 57,"40' - 11'6""S",16M X 20C,"7,9T - 7,9B",6T,7T,5B,Babolat,Tennis
VS NCT TOUR,50 - 57,39' - 11'S,16M X 18C,8T - 8B,6T,8T,7B,Babolat,Tennis
VS POWER,53 - 62,39' - 11'S,16M X 19C,8T - 8B,6T,8T,7B,Babolat,Tennis
VS POWER +,53 - 62,39' - 11'S,16M X 19C,8T - 8B,6T,8T,7B,Babolat,Tennis
XS 102 (Xtra Sweetspot),50 - 55,20'M - 19'C,16M X 20C,8T - 8B,6T,8T,5T - 7B,Babolat,Tennis
XS 105 (Xtra Sweetspot),50 - 55,20'M - 19'C,16M X 20C,8T - 8B,6T,8T,5T - 7B,Babolat,Tennis
XS 109 (Xtra Sweetspot),50 - 55,20'M - 19'C,16M X 20C,8T - 8B,6T,8B,7B - 11T,Babolat,Tennis
Y 105,52 - 58,20'M - 19'C,16M X 19C,"8T - 7,9B",6T,7B,8B - 11T,Babolat,Tennis
Y 109,52 - 58,20'M - 19'C,16M X 19C,"8T - 7,9B",6T,7B,8B - 11T,Babolat,Tennis
Y 112,51 - 57,20'M - 19'C,16M X 19C,8T - 8B,6T,8B,7B - 11T,Babolat,Tennis
Y 112 LTD,51 - 57,20'M - 19'C,16M X 19C,8T - 8B,6T,8B,7B - 11T,Babolat,Tennis
Y 118,51 - 57,20'M - 19'C,16M X 19C,8T - 8B,6T,8B,7B - 11T,Babolat,Tennis
C2C-NANO-FIRE,18 - 24,34' - 9'S,22M X 23C,11B,7B,8B,6T,Black Knight,Badminton
C2C-SHADOW,18 - 24,34' - 9'S,22M X 23C,11B,7B,8B,6T,Black Knight,Badminton
FEATHER XL,18 - 24,34' - 9'S,22M X 23C,11B,7B,8B,6T,Black Knight,Badminton
GHOST PC,18 - 24,34' - 9'S,22M X 23C,11B,7B,8B,6T,Black Knight,Badminton
M-2008 Q4,18 - 24,34' - 9'S,22M X 23C,11B,7B,8B,6T,Black Knight,Badminton
M-2010 C4,18 - 30,34' - 9'S,22M X 23C,11B,7B,8B,6T,Black Knight,Badminton
MAX FORCE 970 XL,21 - 36,34' - 9'S,22M X 22C,"7,9,11,13T - 11B",6B,8B,5T,Black Knight,Badminton
PC-40,18 - 24,34' - 9'S,22M X 23C,11B,7B,8B,6T,Black Knight,Badminton
PHOTON PVC,18 - 24,34' - 9'S,22M X 23C,11B,7B,8B,6T,Black Knight,Badminton
3120,22 - 26,30' - 9'S,14M X 18C,"7T - 6,8,9B",5B,6B,6T,Black Knight,Squash
3220,22 - 26,30' - 9'S,14M X 18C,"7T - 6,8,9B",5B,6B,6T,Black Knight,Squash
3310,23 - 27,30' - 9'S,14M X 17C,"7T - 6,8B",5T,7T,5B,Black Knight,Squash
8111 C4,25 - 29,36' - 10'S,16M X 20C,"8T - 5,7,9,11,12B",6T,8T,3B,Black Knight,Squash
8430 C4,25 - 29,36' - 10'S,16M X 19C,"7,9T - 7,9B",8B,7B,5T,Black Knight,Squash
